policy,network,seed,window_start,objective,loss_mean,avg_bandwidth,bandwidth_saving_vs_b3_pct,missed_pct,false_alarm_pct,precision,recall,f1,avg_aoi,max_aoi,fairness,packet_success_pct,constraint_violation_pct,switching_rate_pct,recovery_aoi
rabs_pd,severe_burst,71,12000,0.19627690190190178,0.10862424924924913,1.5885885885885886,47.047047047047045,1.987353206865402,8.045977011494253,0.9717868338557993,0.980126467931346,0.9759388351697773,1.607273940607274,20,0.9970333281473978,66.03654694391935,1.987353206865402,47.19438877755511,1.6517857142857142
oracle_b,severe_burst,71,12000,0.14389118284951632,0.05736465632298979,1.2402402402402402,58.65865865865866,0.6775067750677507,8.301404853128991,0.9712897526501767,0.9932249322493225,0.9821348816435909,2.461127794461128,27,0.9996717948717949,65.61743341404359,0.6775067750677507,19.639278557114228,4.224137931034483
fixed_b1,severe_burst,73,12000,0.23417292292292308,0.14761636636636652,1.0,66.66666666666667,2.2583559168925023,13.282247765006385,0.9541446208112875,0.9774164408310749,0.965640339134315,3.1037704371037704,34,0.9971165576133969,73.87387387387388,2.2583559168925023,0.0,7.733333333333333
fixed_b2,severe_burst,73,12000,0.1906081081081079,0.09052802802802783,2.0,33.333333333333336,1.4453477868112015,9.96168582375479,0.9654867256637168,0.985546522131888,0.9754135002235137,1.338672005338672,18,0.9916992471340864,73.07307307307308,1.4453477868112015,0.0,2.526315789473684
fixed_b3,severe_burst,73,12000,0.1778941441441442,0.05020645645645653,3.0,0.0,0.6775067750677507,7.662835249042145,0.9734395750332006,0.9932249322493225,0.9832327297116029,0.5125125125125125,9,1.0,72.8395061728395,0.6775067750677507,0.0,0.0
aoi_adaptive,severe_burst,73,12000,0.18623269102435747,0.10476622455789099,1.3853853853853855,53.82048715382049,1.6711833785004517,10.217113665389528,0.9645547186530793,0.9832881662149955,0.9738313576381122,1.7367367367367368,14,0.9933495135561226,72.32658959537572,1.6711833785004517,32.86573146292585,2.690909090909091
risk_adaptive,severe_burst,73,12000,0.20959793126459783,0.09267600934267592,2.5225225225225225,15.915915915915917,1.5356820234869015,7.407407407407407,0.9740840035746202,0.9846431797651309,0.9793351302785266,1.068068068068068,20,0.9997100236420464,73.01587301587301,1.5356820234869015,5.110220440881764,1.0813953488372092
burst_adaptive,severe_burst,73,12000,0.18886949449449433,0.11187750250250232,1.1961961961961962,60.1267934601268,1.8066847335140017,11.366538952745849,0.9606716747680071,0.98193315266486,0.971186062095153,1.942942942942943,16,0.9967153638750051,74.05857740585775,1.8066847335140017,10.32064128256513,3.404040404040404
max_aoi,severe_burst,73,12000,0.16800696529863213,0.07317213046379728,2.0,33.333333333333336,1.1291779584462511,8.42911877394636,0.9707317073170731,0.9887082204155375,0.9796375027970463,0.988988988988989,15,0.9541506227547486,73.07307307307308,1.1291779584462511,0.0,1.355263157894737
max_risk,severe_burst,73,12000,0.25576722555889203,0.10526672505839152,2.0,33.333333333333336,1.2646793134598013,15.197956577266922,0.9483731019522776,0.987353206865402,0.9674706793538393,4.700033366700033,62,0.9612916741918006,73.07307307307308,1.2646793134598013,0.0,12.368421052631579
